D0	D8	N
200755_s_at	-1.27779536010041	-1.62004871838307	-1.62004871838307
200756_x_at	-6.59258166827794	-3.53561100030099	-3.53561100030099
200757_s_at	0.193919767872185	0.0162901835398053	0.0162901835398053
200758_s_at	2.22397793850439	2.39526629943897	2.39526629943897
200759_x_at	0.112405759385563	0.0369263246836606	0.0369263246836606
200760_s_at	0.0170306594763154	-0.151426076476412	-0.151426076476412
200761_s_at	0.706664710651999	0.708391428800542	0.708391428800542
200762_at	0.312837194484	0.651486512870902	0.651486512870902
200763_s_at	0.0997199727862892	0.046873357014297	0.046873357014297
200764_s_at	-0.419106323370405	-0.17809369439972	-0.17809369439972
200765_x_at	-0.0586387152848342	0.233899991578742	0.233899991578742
200766_at	-1.01480271674788	-0.635400106859056	-0.635400106859056
200767_s_at	-1.1752960135528	-0.930553637046824	-0.930553637046824
200768_s_at	0.447870212274859	0.627490028216512	0.627490028216512
200769_s_at	-6.22301646600375	-6.54832820384868	-6.54832820384868
200770_s_at	-0.164395736389712	-0.805574504904949	-0.805574504904949
200771_at	-1.0109110639413	-0.014327238973773	-0.014327238973773
200772_x_at	0.361214861758734	0.378126398919571	0.378126398919571
200773_x_at	0.0542304688052884	-0.0116981318229996	-0.0116981318229996
200774_at	0.207628942358307	-0.0486412750430496	-0.0486412750430496
200775_s_at	-0.533069162273771	-0.5981694737095	-0.5981694737095
200776_s_at	-1.34875816073026	-0.780985537348947	-0.780985537348947
200777_s_at	-0.444134651151154	-0.226653767886813	-0.226653767886813
200778_s_at	-1.46677815773385	-1.22806868213119	-1.22806868213119
200779_at	-0.418732382270971	-0.322848398432757	-0.322848398432757
200780_x_at	0.178642612199059	0.307021538128565	0.307021538128565
200781_s_at	0.365497196206736	0.225149537115783	0.225149537115783
200782_at	-0.605505224722606	-0.470941970544036	-0.470941970544036
200783_s_at	0.4626359965562	0.58945339108692	0.58945339108692
200785_s_at	-0.761694238390374	-2.55569383671416	-2.55569383671416
200786_at	0.028101499829507	-0.0103885520211513	-0.0103885520211513
200787_s_at	-1.21319112182724	-2.03984694717631	-2.03984694717631
200788_s_at	-0.308203003174823	-0.409046393150751	-0.409046393150751
200789_at	3.28759361637681	1.15470715779516	1.15470715779516
200790_at	-0.284586475768755	-0.505360056378843	-0.505360056378843
200791_s_at	0.118088509643044	0.395413252604389	0.395413252604389
200792_at	-0.664955509415828	-0.578548814489652	-0.578548814489652
200793_s_at	-0.32242000354136	-0.16961938629562	-0.16961938629562
200794_x_at	-0.102983814630035	-0.0596346653819442	-0.0596346653819442
200795_at	-0.434935688633955	-0.0391208043313687	-0.0391208043313687
200796_s_at	-4.81152381326836	-6.21603345192042	-6.21603345192042
200797_s_at	-0.310380235503034	-0.193773999314789	-0.193773999314789
200798_x_at	-2.57448891341971	-2.17183118866306	-2.17183118866306
200799_at	0.984668548530198	0.236042440953719	0.236042440953719
200800_s_at	0.448520357603121	0.133064190203457	0.133064190203457
200801_x_at	-0.901704651169517	-0.772494643934381	-0.772494643934381
200802_at	0.28733455769428	0.162107075386412	0.162107075386412
200803_s_at	-1.04127185045167	-1.21159499511567	-1.21159499511567
200804_at	0.111470274441963	-0.0309675513684518	-0.0309675513684518
200805_at	0.0108085827765532	-0.250893875601646	-0.250893875601646
200806_s_at	-0.87749388650335	-1.13729122584321	-1.13729122584321
200807_s_at	0.255999864969128	0.143320944583783	0.143320944583783
200808_s_at	0.770427444232154	0.844360527115539	0.844360527115539
200809_x_at	0.343715574099303	0.207306152553743	0.207306152553743
200810_s_at	-0.207679687781514	0.187382551667556	0.187382551667556
200811_at	-0.498897554542232	0.60489437641982	0.60489437641982
200812_at	-0.311192380496015	-0.244222155887472	-0.244222155887472
200813_s_at	-2.34703056435032	-4.20680024700694	-4.20680024700694
200814_at	1.12072297488733	0.720752270123082	0.720752270123082
200815_s_at	-0.0466044862751875	-0.300122860732598	-0.300122860732598
200816_s_at	-0.152992326272855	0.436574775063404	0.436574775063404
200817_x_at	0.344925375334782	0.297824391379185	0.297824391379185
200818_at	0.29297731633023	0.170953514891677	0.170953514891677
200819_s_at	0.390397710906372	0.354985541801254	0.354985541801254
200820_at	-0.319417248776265	-0.225039015332879	-0.225039015332879
200821_at	-0.313758052249259	-0.124716325451493	-0.124716325451493
200822_x_at	0.0240512220760785	-0.205269470417269	-0.205269470417269
200823_x_at	-0.364472732540175	-0.563629070924545	-0.563629070924545
200824_at	-0.705874455488035	-0.618582599081861	-0.618582599081861
200825_s_at	-0.639905067017631	-0.766282925700606	-0.766282925700606
200826_at	0.440071724825106	0.223226417944336	0.223226417944336
200827_at	1.085002815402	0.249715888534394	0.249715888534394
200828_s_at	-1.51083973752099	-1.31918891933365	-1.31918891933365
200829_x_at	-0.198559066069388	-0.0364418889167126	-0.0364418889167126
200830_at	0.391392758666969	0.435379088282451	0.435379088282451
200831_s_at	0.36072118135873	-0.515659272735222	-0.515659272735222
200832_s_at	-1.61338737483458	-1.88278766617251	-1.88278766617251
200833_s_at	-0.294596256667806	-0.132453117250313	-0.132453117250313
200834_s_at	0.288609764321757	0.121467178098543	0.121467178098543
200835_s_at	2.68395472130553	1.88117042091418	1.88117042091418
200837_at	-0.0605631013089223	0.0115657088907604	0.0115657088907604
200838_at	-0.199800222493455	-0.609841658378222	-0.609841658378222
200839_s_at	0.257392908290834	-0.0847907027865933	-0.0847907027865933
200840_at	0.250151108968115	0.0488939977667844	0.0488939977667844
200841_s_at	-1.49358653261263	-1.84471499993466	-1.84471499993466
200842_s_at	1.14169437336763	0.650161480040802	0.650161480040802
200843_s_at	0.494243700645933	0.706873224741805	0.706873224741805
200844_s_at	-0.356747432396403	-0.593364863972578	-0.593364863972578
200845_s_at	0.0690460185606359	0.233387884731759	0.233387884731759
200846_s_at	-0.921204581310823	-0.929993293146035	-0.929993293146035
200847_s_at	-0.349859523573921	-0.237662932368167	-0.237662932368167
200848_at	-0.693382301724627	-1.16127071758658	-1.16127071758658
200849_s_at	-0.392609492152443	-0.471855424264518	-0.471855424264518
200850_s_at	-0.0840348636407224	-0.0127054145571694	-0.0127054145571694
200851_s_at	0.261644588859568	0.883425380857737	0.883425380857737
200852_x_at	-0.287086497419738	-0.463090208283122	-0.463090208283122
200853_at	0.182345892231675	0.0703162648085289	0.0703162648085289
200854_at	0.553562081845405	0.464418866551112	0.464418866551112
200855_at	0.230814260250458	0.448839169912538	0.448839169912538
200856_x_at	0.44444786432004	0.58431840153418	0.58431840153418
200857_s_at	0.03818435476221	0.0390198057489179	0.0390198057489179
200858_s_at	-0.0257121127956452	0.104169069665332	0.104169069665332
200859_x_at	-0.720226094382612	-0.474245609049463	-0.474245609049463
200860_s_at	0.0143707957281229	0.295878589880676	0.295878589880676
200861_at	0.834283457561444	-1.91712857900248	-1.91712857900248
200862_at	0.171184212128107	-1.83986501676095	-1.83986501676095
200863_s_at	0.196228612816675	0.171885215627253	0.171885215627253
200864_s_at	-0.667569633735067	-0.211504127879021	-0.211504127879021
200866_s_at	-2.46956370117545	-2.78255596207991	-2.78255596207991
200867_at	-0.546047673846264	-0.438191425959397	-0.438191425959397
200868_s_at	-0.505667359999316	-0.512127104262806	-0.512127104262806
200869_at	0.185532205148352	0.0198367161954351	0.0198367161954351
200870_at	-0.197436396226658	-0.13457363227683	-0.13457363227683
200871_s_at	-0.279086870512941	-0.429910862861689	-0.429910862861689
200872_at	-0.0614145980741743	-0.00448801775544894	-0.00448801775544894
200873_s_at	0.358950956258905	0.617912384323603	0.617912384323603
200874_s_at	-0.762609514759816	-0.4790857292722	-0.4790857292722
200875_s_at	0.412787802312213	0.24303302445788	0.24303302445788
200876_s_at	-1.08823228966079	-0.993517871163974	-0.993517871163974
200877_at	0.377070979446032	0.19043170000964	0.19043170000964
200878_at	-0.226993061307992	0.62586282389752	0.62586282389752
200880_at	-0.0583145070619295	0.216133445732725	0.216133445732725
200881_s_at	-0.244303134394141	-0.163091862564325	-0.163091862564325
200882_s_at	1.24846085163303	1.27684286443965	1.27684286443965
200883_at	-1.3863176052886	-1.28141422261958	-1.28141422261958
200884_at	-0.617757722066173	-2.06636518699595	-2.06636518699595
200885_at	0.0809515367180005	0.321795566211106	0.321795566211106
200886_s_at	0.280530974359237	0.104662635542836	0.104662635542836
200887_s_at	0.215805815882419	0.28678789541425	0.28678789541425
200888_s_at	-0.498491517405528	-0.785449395647868	-0.785449395647868
200889_s_at	-1.50098231783034	-1.0905082534118	-1.0905082534118
200890_s_at	-1.62809758952001	-1.52181627040591	-1.52181627040591
200891_s_at	0.587677787264512	0.896168819985773	0.896168819985773
200892_s_at	-0.84988234361399	-0.462216398137818	-0.462216398137818
200893_at	0.360271821971113	0.464966906331849	0.464966906331849
200894_s_at	-3.39538435616671	-5.01448840422564	-5.01448840422564
200895_s_at	-0.214439886770333	-1.94590998146028	-1.94590998146028
200896_x_at	0.10695761534113	-0.49330391092127	-0.49330391092127
200897_s_at	0.276044830790305	0.0309284879539389	0.0309284879539389
200898_s_at	-1.38762659225765	-1.27751824161784	-1.27751824161784
200899_s_at	-0.433659290186657	-0.0983270844330448	-0.0983270844330448
200900_s_at	-1.82845152102525	-1.8279954008784	-1.8279954008784
200901_s_at	-0.684457680151175	-1.31550073337797	-1.31550073337797
200902_at	0.282559477887572	0.415297226803315	0.415297226803315
200903_s_at	-0.365659739905318	-0.786765844602305	-0.786765844602305
200904_at	-0.642951791434138	-0.347768456809762	-0.347768456809762
200905_x_at	-0.326743512595126	-0.268219354118523	-0.268219354118523
200906_s_at	0.942666314758666	0.431619219665244	0.431619219665244
200907_s_at	0.415107301711107	-0.585017098121918	-0.585017098121918
200908_s_at	-0.985880428712763	-1.64384590063218	-1.64384590063218
200909_s_at	-0.0141641583667109	-0.126150995535014	-0.126150995535014
200910_at	-0.59668596673575	-0.633090589210088	-0.633090589210088
200911_s_at	0.10631220740169	0.771452403214765	0.771452403214765
