Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
N02	0.21500235779418864	0	0.05346560643430274	0.1229172093359426	0	0	0.03758792222997816	0.012684109433256104	0	0	0.0420439254556871	0.015163235719203513	0.2864039574308801	0.08321266219532195	0	0	0	0.011434902162274987	0.04205971280346556	0	0.02618674254848753	0.05183765645701099	0.01	0.3364007199703245	0.9480135287670725
N04	0	0.00875449954543356	0.04588532015145051	0.008272650939072862	0.0008	0	0.09571874171354244	0.027513104064215872	0	0.004084051075496742	0.079694857626157	0	0.33210693077519343	0.05423164491839194	0	0.014491368031526706	0	0.0051637470161010465	0.08167057028855071	0	0.12453953834981733	0.11703530906004944	0.01	0.3750779404918741	0.9303104138946029
P001_D33	0.020164381017180225	0	0.01168422104999833	0	0.027583784377300927	0.029080148118505265	0.03089291280636653	0	0	0.013576515668721749	0.10500969064169685	0	0.08240664891825196	0.044969670639832905	0	0	0	0	0	0.019284341407537264	0.032208736659123584	0.5831389486954844	0	0.6500527109940754	0.7714085291225385
P007_D33	0	0.04442186222296295	0.06328105379660955	0	0	0.051534877922492756	0.0019240098451640988	0	0	0.022980617355197797	0.10735491825755	0	0.3280305610928365	0.06685629623836914	0	0	0	0.01365791486606874	0	0.04102500619811999	0.057279487045331805	0.20165339515929664	0	0.449991529494173	0.8952484781819775
P008_D33	0.0029908548763017966	0.0009	0.008986027109523117	0	0.037281750263106546	0	0	0	0	0	0.060654898240438265	0	0.46226169545344814	0.050496330296944204	0	0	0	0.004998844052456361	0.03197517043011661	0	0.066178221150602	0.2732830235937376	0	0.5002876647270199	0.8773576747680135
P009_D33	0.025784695300607712	0.09827570700991894	0.02139892010117529	0.06543191157700116	0.033999109515479804	0.02932153740549737	0	0	0	0.0096713983682425	0.07768991499772843	0	0.3218096270842659	0.07928919638995553	0.00404751221760103	0	0	0.013897619252729988	0.038607658470217875	0	0.029700241034924916	0.15107495127465345	0	0.41314509972197067	0.912179205908849
P010_D33	0	0.020520906027164148	0.0158356183336079	0.18474427472112304	0	0	0.03960765893499879	0.01204004230676175	0	0.040043344779468415	0.09495708028513315	0	0.4971556950309249	0.005461923215287785	0	0	0	0.004856476750327045	0	0.0398704861488737	0.03064630246517045	0.014260191001158913	0	0.417955727863361	0.9121949352741925
P013_D33	0.04765855811731767	0	0.019750608524881853	0.006775030602523695	0.030157029852761728	0	0	0.00490050968994612	0	0	0.03758650032720505	0	0.48620248273878564	0.04795807240945158	0	0	0	0	0.06577772541770087	0	0.05775652215669427	0.19547696016273147	0	0.4957947885886424	0.8728305784888531
P016_D33	0.005748688166455035	0	0.007761743663474702	0.021002058690073454	0	0	0	0	0	0	0.09155817334962088	0	0.4369729195466609	0.0837069036462931	0.0014473608479455618	0	0	0	0.027768749317924543	0	0.128034664236067	0.19599873853548488	0	0.46210299942403626	0.8953654854854781
P017_D33	0.05701269242993649	0.04285227006492915	0.0227498212107094	0.12478058275171353	0.02743411939032279	0	0.0012820063283746114	0.02406019548941516	0	0.029032897112982372	0.04467098175770248	0	0.30932768161857294	0.06145408189864852	0	0	0	0.014054625336677899	0.02818766986607022	0	0.14001153727015714	0.07308883747378732	0.01	0.37162132845118473	0.9307264292982571
