Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P048_D0	0.5102880265943158	0	0	0.05972215522823956	0.011948007004879349	0.19325049056222224	0	0	0	0	0.060376221277608624	0	0.08153495577766272	0	0	0.04678850145297256	0	0	0	0.015172874885919181	0.02091876721618008	0	0	0.36066593323381213	0.9660372200551024
P049_D0	0.19216644864163618	0	0.17780529263344377	0.0377267109996331	0	0	0.04756122030173843	0.036305492626953505	0	0.029758249719781613	0	0.01441775851607507	0.24652854869712348	0.03706437457791068	0	0.02910627713850569	0	0.01833073389699287	0.058338416508615154	0	0.07489047574159051	0	0	0.33309458042302614	0.9552564792520062
P050_D0	0.0914509644645884	0	0.21405653634789545	0	0.17482281686100593	0.18615329335117084	0	0.005954233244359946	0	0	0.04452501766926376	0.007778123433509411	0.12340252518401172	0.07488075844112664	0	0	0	0.018449576652077138	0	0.03706879171912999	0.021457362631860797	0	0.02	0.2618502141788308	0.9923713887155767
P051_D0	0.386817087883482	0	0.05447716015153969	0	0	0.3149037537321834	0.0011525894919870098	0	0	0	0.1242917721877324	0	0.09977266429822006	0	0	0.003602352872387741	0	0.0038947169412776603	0.009603329392885296	0	0.001484573048304807	0	0.03	0.20615327575534084	1.0445409738465627
P053_D0	0.5956306325190257	0	0	0.174418538355422	0.024330384100846186	0.004562846790398489	0	0.005810373602031545	0	0	0	0.08163479726198825	0.022909430115685112	0.0028089768077682723	0	0.02635177771531815	0	0	0.05182718827968808	0	0.0007	0.009041593336878675	0	0.43059487259261586	0.9397825050688895
P054_D0	0.026913356430757863	0.11383395330136187	0	0	0.09432886860298596	0	0	0.007331939346283908	0.04639824673318048	0.026698536704192487	0.04990085248577778	0.028359591355118008	0.2710527646150754	0.055279637517377404	0.007060152123850124	0	0	0	0.08479330177725812	0	0.12642932017202033	0.06161947883476019	0	0.3566019464947794	0.935990431851043
P055_D0	0.39106502757431993	0	0.1428530817886854	0.08378010487825653	0	0.07883477667543061	0.007750562293805082	0	0	0	0.03973178977117574	0.0032682613199829986	0.13590047974622826	0.03976519519046869	0	0.009413234298486839	0	0.003945414616987527	0.0271663540679485	0	0.029150691298084466	0.0073750264801394575	0	0.584531417804656	0.810758350568439
P056_D0	0.28548865730901246	0.006985474463071579	0.13427660676226974	0.15239892277387113	0	0.02359826414175892	0	0.0574772368406477	0	0	0	0.086077243431626	0.08482243737399625	0.061508956932311204	0	0	0	0	0.05144215376447615	0	0.05038787898220235	0.00553616722475653	0	0.45542611611143935	0.8933670086035497
P057_D0	0.28357952762131505	0	0.02967323188124102	0	0.008485973420039703	0	0.012839403319233162	0.021714475289860605	0.04194123221013374	0	0.06300670162487487	0	0.31327494668967526	0.06246244283587915	0	0	0	0	0.03082335451327599	0	0.11394699702646653	0.018251713568004955	0	0.3300694683576838	0.95515163390866
P058_D0	0.4357475429926011	0	0.07411959413709267	0.07104189710063764	0	0.016925811956161534	0	0.07286381836392178	0	0	0.06787787111726248	0	0.12476270496088668	0.013626586171083683	0	0.03254234401901916	0	0.018134116715602992	0	0.00613325220836566	0.05060233645712353	0.01562212380024103	0	0.49637040950234557	0.8718621014101966
P059_D0	0.2640841518317519	0.042932519978326575	0.10646047394555405	0.025297783183572016	0.1509396305532666	0	0.025988527384205175	0	0	0.02415696360593565	0.02685974560315693	0	0.07531859721457525	0.01248739959288087	0	0.04507131476564338	0	0	0.033560279880389676	0	0.15036477465679443	0.01647783780394761	0.02	0.2481975500826869	1.0024744542153075
P060_D0	0.38295155716512247	0	0.1233759060109103	0.038852850406343224	0	0.13662567464292794	0.04573225382944491	0.04046741874220584	0	0	0.10616920733659517	0	0.05428403115623176	0.01744214084683838	0	0	0	0.011904878543604223	0.02632583599852786	0	0.006712415150946568	0.009155830170301275	0	0.37172254300842544	0.9530184042267643
P061_D0	0.35400733629227266	0	0.2918995209670136	0	0.02428444407476724	0.18615130139945185	0	0	0	0	0.06977451883046396	0	0.043386101225874205	0.016643375134621167	0.0012526499962758825	0	0	0	0	0.012600752079259522	0	0	0	0.4372086652788882	0.9440825610311915
P062_D0	0.2055778178752732	0	0.1709647625074208	0.017423034865049803	0.16670337977810504	0	0	0.020043037795716753	0	0	0.11179840308463514	0	0.1645806422172169	0.011599865445635177	0	0	0	0.009087196918114375	0	0.0553130810131389	0.054649016863272684	0.012259761636421257	0.01	0.284278981746524	0.9831639495226399
P063_D0	0.3860599701936413	0	0.1211818186966303	0.07445834422249349	0	0.03566186979974205	0	0.06778200104155445	0	0	0.07938913908627118	0	0.1038413223967199	0.016388724992569194	0.0004	0.005470260922832962	0	0.0009	0	0.05795798422650876	0.030964530413498673	0.019520861365478256	0	0.3387685771056464	0.9717169360239416
P064_D0	0.4293290754719006	0	0.0282985999472681	0.17737382716200142	0.07436675760356969	0	0	0	0	0	0.08119601255998472	0	0.13805685211661642	0	0.004521035510354474	0.04306441642229429	0	0	0	0.023793423206010394	0	0	0	0.381249432695964	0.9441735011712002
P065_D0	0.4399528635874357	0.028935762506435266	0	0.1731904640592906	0.004503387945486884	0	0	0.04193669463844238	0.025526987170018424	0.026723525761647476	0	0	0.23707068381098184	0	0	0.005718652376352963	0	0.003791728344564251	0	0	0.012621531456559603	0	0	0.5608895507145631	0.8277901096902714
P066_D0	0.4606772795008538	0.09168383917736117	0	0.1178255489392423	0.015900907895053856	0.10105704995713355	0	0	0	0	0	0.0738070544610073	0.03329477827577646	0.022025471328546042	0	0.016678415437157118	0	0	0.0274995264037601	0	0.02380915723660133	0.015740971387507022	0	0.4477712481731219	0.914087869530435
P067_D0	0.267133634229541	0.06634039410938411	0.2271947801989997	0.07429001022484226	0.07127967231173138	0	0	0.027627313900309026	0	0	0.0416061583474741	0.01789148628973372	0.05116712122692948	0.044279366441213996	0	0.05931792303019855	0	0	0.011831030288016289	0	0.031740871534431385	0.008300237867194986	0	0.3776633907479995	0.95823438921304
